title,content,
Splendid and unique,"The best hotel I have stayed in in Switzerland. Great location, perfect service and fantastic views make this hotel a must destination if you travel to Lausanne. Access if from the back and not the Lake Front. Ample parking and very friendly and welcoming staff.",
Beautiful hotel,Upgraded to this hotel - excellent facility. Hotel and grounds were beautiful and our breakfast was marvellous. We were very appreciative of the upgrade and would recommended this hotel to anyone. Especially recommend the very friendly and helpful staff.,
C'est magnifique!,"Iconic property, extremely friendly staff, luxurious rooms and classic f&b outlets makes your stay flawless here. It's in a great location. I stayed in the newly renovated block, all white in decor. Even the alleyway leading to the rooms are white and gives an elegant look to the property. Rooms are spacious and luxurious, classic in style, bathroom amenities from Bvlgari (this is the only property where I saw Bvlgari bathroom amenities in my career, I don't think we have this here in Dubai). Service is impeccable as beautiful as the picturesque view from the balcony! There were weddings happening on one of those days I stayed there and it was gorgeous! I didn't use the pool and the spa since I didn't have time. This is the finest hotel in Lausanne and I am sure it will take",
What Else Can Be Said? Fantastic!,"Let me say that this hotel is not for the budget conscious, so you must get yourself in the right mindset. That said, it is worth every penny. We stayed this past summer with our two young children and our nanny and had a wonderful time. It is the perfect combination of classic, old world grandeur and service presented in a modern, unfussy and genuine way. The staff are friendly and welcoming. The rooms are beautifully and simply decorated and the grounds are fabulous. All the reviews are true! I will add some details from a family perspective. Children are made to feel very welcome and is a ton of green space for them to run. Very important to us! My kids played with the life size chess set, ran through the gardens, swam in the pool and played at the on site",
Top top top 5* hotel,"I organised a business trip here for 25 partners for 2 nights in September. Our stay was absolutely flawless and perfect in everyway. The hotel is beautiful, a pretty little town and stunning views of the lake and mountain. A big hotel that really is a top luxury 5* hotel (when I say top 5*, it means it's got the finer details spot on). The rooms are lovely. I stayed in room 219 and it had wonderful views and a balcony. The service is impeccable, the staff are so friendly, they are at the same standard of customer service as the 5* star hotels in the Philippines, which is hard to match. The food is excellent, I didn't eat one bad meal, it was all just delicious. I have to recommend L'Accademia, their Italian restaurant, even the simplest pasta dishes are just so much",
Great!,"Staff is extremely friendly, rooms are awesome - clean, well designed and with a wonderful view. Top location, facilities, great restaurant and bar. Overall - one of the best hotels we've stayed in (and we travel a lot). A little complicated SPA area - it was hard to find the sauna. A bit pricy, but it's worth it.",
quality rooms quality staff quality food - very difficult to top it anywhere,"The best location, room, view, service and food one can imagine in a hotel. The location is first class and the staff are very professionally well trained. The view of the Lake is outstanding with the mountains on the other side of the Lake. There are many fantastic restaurants in town and the staff are happy to assist.",
"Beau Rivage Palace, Lausanne, Switzerland","Absolutly perfect in every way!!!! Professional, kind, friendly, and very helpful staff. Location on Lake Geneva is exceptional and beautiful. Easy walking to Olympic Museum and shops and restaurants in Ochy. Easy access to Metro for seeing city of Lausanne. Concierge staff are great and will advise and take care of all of your needs. Rooms and views of the lake and alps are super. I highly recommend The Beau Rivage Palace, Lausanne. I booked 5 nights the first week in Sept. 2015 and was so happy that I extended my stay twice and did not leave until the 13th of Sept. Staff made me feel like family and I am already planning my return. Cannot wait to go back",
"Swiss quality , french chic , Italian elegance ..","Beau-Rivage Palace is truly one of the best ,if not the best hotel in Lausanne. It is grand , newly renovated/ upgraded and chic! Rooms are spacious , airy (some facing the lake ) very comfortable/ good quality bedding .The stuff threat you as a royalty- courteous , very attentive to the needs. The restaurant was awarded with two stars in Michelin guide! Great place to stay for a special occasion or ..just treat yourself with a best;) ",
Great hotel in Lausanne,"This is a historical hotel and venue for many iconic event. Happened to have checked in during the weekend that the hotel was chosen as the venue for the historical Iranian Nuclear Talks. Fortunately was able to move in and out without much fuss despite the press, diplomatic corps and security staff. The hotel staff was extremely helpful, and the room is nice and quaint. There is a nice gym, with both indoor heated and outdoor pool. Will definitely recommend to friends considering a trip to Lausanne.",
A great place for a few days stopover,"A lovely hotel with beautiful views of the lake, an excellent indoor and outdoor pool and spa, large garden and green space and even a playground for kids. The staff was very accommodating of our young baby and the baby bed was very high quality. The rooms are newly renovated and comfortable though the doors allow for a fair bit of noise from the hallway. If anything to be improved it's the food. The breakfast is underwhelming for the price and the food in all the restaurants extremely salty. ",
The best hotel in Lausanne,"The Beau Rivage is the best Hotel in Lausanne. Even if we leave in Pully, we go there regularly. Located in Ouchy, front lake, fantastic view on the Alps, this hotel is excellent also for business lunches or meetings.",
"Nice property, Swiss prices","My family of 5 recently stayed for a few nights at the Beau-Rivage Palace in Lausanne.. Overall enjoyed the stay and the hotel, but couldn't help it was a bit over-priced, even for someone who has stayed at many hotels with eye-watering prices... The good stuff: 1) Great location on the water, near train into city centre, boardwalk with restaurants, boats for hire, playgrounds for the kids, etc. 2) Great pool area that the kids loved 3) Solid if fairly standard hotel buffet breakfast 4) Huge room(s) - we had two interconnected with equally large bathroom 5) Great view of lake and mountains 6) Friendly but refined service 7) Allowed kids to be kids without over-running hotel.. 8) Really no more classic hotel in Lausanne The few things that make me not rate this 5 star 1)",
"Elegant, beautiful, great views and location.","Room548. Very beautiful, elegant surroundings. Professional friendly service. Exquisite decor and very comfortable beds and pillows. The pillow menu is a huge plus. The pool is shared with the hotel next door and is rather small, however you can just walk across the road and jump in the beautiful lake overlooking the French Alps. Partial view of the lake from room 548. ",
"1st, 2nd & 3rd time - each is a charm","I stay here each year, which is bizarre for me. I love to try new hotels, restaurants, locations around the globe - but every summer when in Switzerland - this is the only place I book annually. From the bellmen, to the front desk, to the bar, to the restaurants, to the location, and most importantly the newly renovated rooms, the hotel is flawless. The views are amazing of the lake, and most rooms have nice balconies. I put my children up at the summer programme at Brillantmont boarding school so I can enjoy the spa (amazing !!) , pool ( attendants everywhere to help with towels etc..) and just to go through the private gate to the lake. It is one of my top 3 favourite hotels in the world...and each year it's only better !! (And the wi-fi is faster than even my own",
Superb!,"This is simply the most superb hotel we have ever had the pleasure to visit.We spent three wonderful nights in this fantastic hotel.Every superlative is deserved.The welcome from the friendly,efficient reception staff was very much appreciated and their help during our stay was outstanding.Our room was beautiful,modern,furnished to perfection and the bathroom was...STUNNING. The views from our room across Lac Leman to Evian were superb too.We enjoyed amazing service and food in the various wonderful restaurants from breakfast to dinner.SUPERB! Perfect location!",
6 star plus stay,"I had another fantastic stay in the Beau Rivage Palace. It can certainly recommend it for either Business or family travel. The reservations staff were super handling our difficult requests, the breakfast was brilliant, and the pool area was the highlight of this trip as an oasis of calm in the city.",
Renovated to Perfection,"The Beau-Rivage will meet and exceed all your expectations. Service is impeccable, and especially accommodating with children. The public spaces are immaculate as are the rooms with all modern amenities in the renovated wing. Plenty of dining options, indoor pool and outdoor pool. Gym with new machines and equipment. Delicious breakfast, just next door to the olympic museum. They even have an electric boat you can take out on the lake. Can not think of any improvements other than to continue the renovation to the other wing. On a day trip to Geneva, the concierge phones the Beau Rivage Geneva to take our car while we walked around, etc. Would certainly return if I found myself in the area again.",
Stunning hotel with views to match,"This is a hotel that gets it perfect at every level. The location is amazing , the style and ambience impressive yet very welcoming. We experienced interested and well trained staff. Alexander from Barcelona was attentive on our arrival and organised food and drinks whilst we enjoyed the firework display over the lake. We were there for a wedding and the food and service was up there with the best we've ever experienced. Our room was lovely, well appointed with a great view of lake Geneva. Breakfasts were probably the best we've had in terms of high quality product, well presented and an enjoyable experience each of the three days we stayed . If you want to spoil yourself and someone special, this hotel does not disappoint. Rightly deserves its high reputation.",
Fabulous Old World Charm,"My wife and I loved this hotel in every way. The attention we were given by all the staff was wonderful, our room beautiful and comfortable...and large (including amazing bathroom and closet space). Breakfast was remarkable and included in the pricing. We loved eating there so much, we ate dinner there as well and found it delicious in every way. The hotel setting is gorgeous and we took many extended walks around there each day we were visiting.",
Beautiful Hotel,"One of the nicest hotels I have seen. Great location, next to gorgeous Lake Geneva. The food in Hotel restaurant was pricey, but good. Shower in hotel makes you feel like you are showering under a waterfall.",
Excellent,"I last stayed here in July 2013 and described the hotel as excellent. Two years later it is still excellent with wonderful and comfortable rooms, great service and fine food. A huge thanks to all the staff who made our stay so memorable . The rooms overlooking Lake Leman incorporated everything you need in a 5 star establishment, the swimming pool area was well run as was the spa and gym, all within a short distance and very functional.",
a little bit of heaven,"Just amazing. Rooms, service, pool, food - everything was amazing. Top class hotel, which makes you feel welcome and at ease. Absolutely nothing to fault, and everything to praise. Made us, and our over enthusiastic 3 year old feel incredibly welcome, and with all the facilities, and amenities including play room, boat to rent, snacks, etc etc just brilliand",
A great hotel in Lausanne (Ouchy)!,"Very upscale, very comfortable and well situated, although a bit pricey. Everything about the hotel was first class and very classic modern. Great views of the lake, and close to many restaurants, activities and shops. A short walk from the metro, and close to the Olympic Museum. Staff was very helpful.",
Perfection,"This hotel is set in the most beautiful location on the shores of the lake - every morning is a delight waking up to this view! The hotel decoration and attention to detail is superb - and the menus are just outstanding. The staff are very warm and welcoming. It is easy to navigate the town, the metro and enjoy walks along the shore, and always so lovely to get back to the hotel for a relaxing evening in such a magnificent setting.",
Grand old European resort hotel,"Perfect in every way. Huge room with wonderful balcony, luxurious bedding & furnishings, amazing indoor/outdoor pool, gorgeous spa. Excellent food in numerous restaurants, esp the 2-star Michelin which is a pure gourmet experience. Great garden. Get a lake view room and enjoy the feeling of being at a 19th c luxury lake resort that's totally updated with no detail forgotten. Enjoy!",
Laid back,"Checked in at the Beau-Rivage Palace and stayed for 3 nights. This hotel truly stands out as one of the top lakefront resorts. Service is outstanding and staff are very professional and take the extra mile to make sure that the stay is unique. Rooms are classic and spacious. Top notch, would definitely come back.",
Good in parts,"On the plus side, our deluxe junior suite was large, with a balcony and great views across the lake. The en-suite bathroom was massive too, which made the tiny coffin shaped bath-tub squeezed into a corner so disappointing. Also, at this level, one expects marble or granite to be used, rather than ceramic tiles....and the walk-in shower stall, while large, only had a wall-mounted hand-shower fitting, rather than a proper overhead shower-head. Mattress gave poor support, and for some reason they provided two single duvets on our king-size bed. On the positive side, the buffet breakfast was excellent, and the staff all friendly and helpful. Pool-side loungers were distinctly average. We used their valet parking service: at our previous hotel (the beau-rivage in Geneva) there was",
The benchmark for world class hotels,"From check in to exit the service level was of the highest quality. The buildings are frankly stunning, the facilities top notch, and the location a dream for lovers of lake and mountain views. The breakfast setting, quality of food, was exceptional. Lucky with the weather (dry and 26 degrees) was icing on the cake - late evening drinks outside at the bar, a pleasure. This hotel is owned by a wealthy Swiss family (Sandoz) and it shows. Thanks folks!",
Stunning!,"A very elegant hotel with a magnificent lobby. Everything about the hotel was five star. The rooms are exceedingly comfortably - the dining experience was just that - the risotto I had is probably one of the best I have every eaten. There is no real downside - other than the hotel doesn't quite reach down to the lakeside but maybe that is more of an advantage - as Lac Leman was a little smelly when we were in Lausanne. The hotel was most definitely the best thing about Lausanne - Lausanne not my favourite place - taxi drivers rude, expensive and unhelpful. But the hotel and its staff most definitely compensate. Would I stay there again - of course who wouldn't just a shame it is in Lausanne.",
Beau-Rivage Palace - a dream,We spent an unforgettable weekend at the Beau-Rivage Palace Lausanne. Everything was just perfect. Nothing is ever a problem there. The staff were exceptional. The food was excellent. The spa was incredible. Really recommend Anne Sopie Pic Restaurant.,
GREAT HOTEL - flawless,"This is a great place to stay - the rooms have been refurbished and are now excellent. The service is very good - attentive yet discreet. The food is excellent and the facilities are generally very good. I ave stayed there about 5 times, and the only thing I do regret is that they do not seem to recognise returning guests.",
Beautiful setting,"Had lunch here on the lovely terrace, overlooking the lake It's a spectacular setting Very good food and polished service, as you would expect from a luxury hotel.with every attention to detail. All the staff were so helpful land polite. The hotel is beautiful inside, with beautiful gardens to stroll in, just a few steps from the lake. They made an amazing Bellini ! Truly memorable Can't wait to go back again and next time stay longer ",
Beau Rivage goes above and beyond,My family of five just finished a four night stay at beau rivage. BR is an amazing hotel. The rooms are gorgeous and immaculately maintained. We were in two junior suites. The breakfast buffet is outstanding with exceptional service. The terrace is a great place for a late night drink or coffee also with very attentive service. The concierge staff is among the best we have encountered. They are knowledgable of all things Lausanne, over the top helpful with touring recommendations and have a very friendly way that doesn't make you feel as if you are an inconvenience. The spa and pool are very nice and again have very friendly and helpful staff. BR is an exceptional hotel with a staff that goes above and beyond. 
Amazing location an service.,"We reserved through Tablet and had a wonderful stay. We had a Superior room overlooking Lake Geneva. From the fruit plate greeting us to the complimentary Metro/Bus passes we had a great stay. Make sure to have them explain the various amenities - e.g. the complimentary electric boat for guests to go around the Lake. You need to make a reservation and they fill up. Also, there is a difference in the bars so if you get a welcome drink make sure you go the right bar. The Spa/pool area was amazing and they even had a Falconer on the grounds. The hotel is centrally located and the areas around are great to walk about.",
A true luxury hotel!,"This hotel is absolutely magnificent. I stayed here in June 2015, and it is one of the best hotels I have ever visited (topped only by Katikies in Santorini). From the moment you check in, you feel you are in good hands, as the service is out of this world. The rooms are beautiful and the beds are extremely comfortable. The terrace bar and lounge has a stunning view of the lake and mountains, and the falcons present (with trainers!) to keep the pigeons at bay always made for a good talking point. Breakfast was included in our stay and was a huge selection of tasty items, enjoyed on yet another terrace. The service was great then as well. We did not have a chance to eat at any of the other hotel restaurants, as they were booked up, so reservations a few days in advance are",
"Luxury, service, setting, food!","This is a truly wonderful hotel. The welcome and service is gracious. The setting is spectacular with a beautiful view of the Lake from our balcony. The hotel has such an old-world luxury feeling, a pleasant change from all the high tech hotels sprouting everywhere. The indoor-outdoor pool is a delight, as is the sauna and hamam. Every turn found a hotel employee ready to advise and help. And the restaurant!! Mme. Pic has it just right, so much so that we were having our sumptuous cheese course at 1 o'clock in the morning while finishing out delicious 20 year old Bordeaux. We only spent one night and departed after a lovely breakfast buffet the following morning. But we will return. Very highly recommended.",
Everything was perfect. The best hotel we have stayed yet.,"Everything about the hotel was perfection. Where do I start? We stayed for a weekend to celebrate our anniversary. Pros: - One of the best hotels I know and have stayed in. The level of luxury is just out of this world (and we always stay in 5 star hotels!). My husband and I still talk and think about the hotel from time to time. - Lobby and service were perfect - Gym, pool, sauna, steam room and jacuzzi were beautiful, classy, quiet. We totally recommend the walk-in automatic shower, I think it's called rainforest shower - The decor of the bedroom was so classy and beautiful. The bathroom mirror even had a tv integrated in it. - Breakfast was good. The best eggs benedict I've had in ages. - Staff celebrated our anniversary with us by bringing tons of fresh juices,",
The best location in Lausanne," Wonderful view, perfect service and traditional rooms with all the latest technologies incorporated. The breakfast terrace and the quality of all what is served are a great match and invite for a long breakfast. No need to say that this hotel is for Lausanne visitors that travel without any budget restrictions.",
Super Hotel,"One of the best hotels I know. Especially the Palace-Part is an outstanding combination of historical building and modern design. What ever Restaurant you Chose, each one is fantastic in his way. The behavour of the staff is friendly and competent- simply outstanding!",
Thank you Michael....,"Some years ago Michael Winner described the absolute luxury provided by the Beau Rivage Palace. Then it seemed an impossible dream. But with low cost direct flights to Geneva and direct trains from the airport to Lausanne (about 45 minutes) it is now within compass. It is of course expensive, but it does give value for money. Our refurbished balcony room overlooking the lake and mountains was elegantly furnished. The service provided by the many staff members was impeccable and without formality. A late check-out allowed us to enjoy our last day to the full. Unreservedly recommended.",
Excellent Hotel,"A very hospitable hotel located in one of the world's most scenic areas. Since attending an exceptional family wedding reception in 2010, we have chosen to holiday at the hotel every year our schedule permitted.",
Good taste is luxury,"Good taste is the fundamental luxury at the Beau Rivage. The setting is idyllic, overlooking the lake and mountains in the distance; in front of the hotel as you walk to the lake is a pretty rose garden. The hotel itself is decorated in a quiet but confidently opulent style. Our room was all soft blues and creams, with comfortable classic furnishings, and a little balcony. The service was attentive, polite, thoughtful. Very good breakfast. You could spend part of the year at the Beau Rivage, as if you were taking a 19th-century grand tour, and feel at home.",
Excellent Hotel - beautiful location.,"The Beau-Rivage Hotel in Lausanne is located on the shore of Lake Geneva. The hotel is big and beautiful. The rooms vary in size, and all of them are extremely well equipped. The WIFI is free and it works!! The food is excellent, but it is a little disappointing that it takes more than 10 minutes to fry two eggs for breakfast. Other than that the hotel service is impeccable. The Beau-Rivage Hotel comes highly recommended. It is not cheap to stay here, but I think it would be difficult to find a better hotel. ",
Best of the best!,"One of the best I've ever stayed in, Classy and deep heritage, best food ever! Except for Miyako ( not impressed) but if you stick to the hotels main outlets you will be extremely happy! Fantastic pool and view, beautiful interior designs to the newly renovated rooms! With also fantastic view! Great service and professional staff. Except for one staff that seems he didn't know what he was talking about :S Over all a top rate!! And the only hotel worth staying in when in Lausanne!!!! ",
Beautiful grand hotel,"Huge beautiful luxury hotel by the lake. The grounds are gorgeous and amazing. The superior room is spacious with large bathrooms, tastefully furnished & decorated. Very good breakfast with lots of options. 5 star service and amenities. My only complaint is that the room near the service corridor such as room 548 is noisy especially in the mornings from the constant opening & closing of the door and movement of staff. Perhaps those rooms need to be soundproofed. Overall will gladly stay here again",
wonderful!,"Beautiful grand hotel- just perfect. Great service, great room. Bedroom was very comfy, bathroom was huge. Definitely get a room with a balcony overlooking the lake- the view is amazing. It's pricey, but worth it. It's outside of the old city, located right on the lake- a great spot.",
Awesome,"This review will be short and sweet. This hotel is awesome. Incredible location, great service, beautiful views, excellent restaurant, amazing amenities... Enough said. (There's a 200 character minimum, so I'll add that I have about 75-100 hotel nights per year at all levels around the world. This is my favorite. If you can swing it, stay here.)",
A gorgeous place to stay...,"I can guarantee that you will be impressed by the high quality service, the friendly yet polite staff, the beautiful scenery of the public places like the lobby with its atrium, the perfect gardens, the élégant bar, their relaxing spa... And of course their beautiful and confortable rooms ! You will definitely feel like home... And you'll never want to leave! (Their breakfast is AMAZiNG! ) A spécial mention to Andrea at the front desk, who was very helpful and friendly. ",
Flawless Experience,Stayed 3 nights at a work-related event with my wife. One of the more spacious rooms we have ever had in Europe. The room had a great view and was very clean. The blackout shades are awesome. The bars are both very nice. The concierge was incredibly helpful. The only negative was that you only get one key to your room which is difficult when two people are using the room.,
Really superb,"A stay at this hotel is truly an experience. This is really how a hotel should be. It is definitely not cheap and some of the rooms are a bit too small, but the ambience is always there. Great breakfast, great service. Try to get a room with a view of the lake and the mountains!",
A gorgeous first class hotel!,"The Beau Rivage Palace is a simply gorgeous hotel. The interior has been well maintained, yet the hotel holds onto its historic past. It's everything one wants in a true five-star hotel. The service is impeccable, the rooms beautiful, and the buffet breakfast is fabulous. I highly recommend the Beau Rivage to the discriminating traveler!",
First class hotel on all counts,"Attending for the annual FT Commodities Summit. Have visited for the past 4 years and this hotel is a true delight - highest quality service, location is first class, rooms are beautifully appointed in a traditional style with spacious luxurious bathroon. I swim so the spa and pool are most welcome where service is very polite and facilities superb and luxurious. I have to list his as about the best hotel I have stayed at around the world!",
Such a gorgeous hotel.,"We were there for a IMD conference. I knew it as a famous five stars hotel and also one of hotels world leading. Yes, it is. We got a room with amazing lake and mountain view, my room was spacious with sofa and balcony. It was perfect for relaxing. The breakfast buffer was so delicious with open view. We enjoyed it. The staffs were friendly and helpful.",
Amazing,"Went with the family for a weekend during Easter. We have stayed several times but it just gets better and better! Kids are well looked after and welcome everywhere without it being a ""Club Med"". Try the new Tepanyaki! Friendly, beautiful surroundings and an incredibly beautiful Palace. We will keep coming back.",
An Amazing Palace,An amazing palace with a service of high quality. The view on the lake is stunning! It is worthwhile for a week-end. There is also a small swimming pool and a hammam in the changing room. The place is quiet and perfect for a romantic night!,
Beautiful hotel in gorgeous surroundings,"This hotel is just gorgeous. The interior has been well maintained with keeping it's original beauty of a palace in tact. The breakfast buffet it incredible ! And service is perfect. The rooms were quiet and just lovely. Peaceful, relaxing stay even though as it turned out, there were peace talks going on in the hotel at the time of our vacation. So, LOTS of extra security. We still felt the warm nature of this hospitable staff.",
Palatial in every sense!,"Utterly faultless!! The hotel is a delight, stunning location with breathtaking views across the lake. The decor and facilities are the epitome of luxury with service to match. I thoroughly enjoyed my stay there and would not hesitate to return.",
Outstanding in every way,"Stayed here 6 nights. Felt like a princess indeed. Service over the top. Staff bent over backwards to be accommodating. I'm sure they didn't always feel like smiling but they did! What a pleasant experience. It meets my approval as ""one of the leading hotels of the world"". Bravo.",
Classic beauty and great service,"The Beau Rivage Palace maintains the charme of a classic, elegant grand hotel, with all the modern amenities. Set in a beautiful property, large garden/park with a splendid view of Lac Leman, we felt right a home: The enthusiastic receptionist that accompanied us to our room, the concierge, bell boy, waiters, spa staff, maids, all of them were very attentive, quick, professional and, I had the impression, proud to work at the BRP. (Compliments, quite a change to a few years back, when we had a few so so interactions) The rooms are beautifully redone, in classic style, with ample space in wardrobes and the bathroom. Opt for a lakeview room, it's great to see the morning come up from your comfortable bed. Nice in- and outdoor pool and beautiful spa. The only point: the men's",
The best of the best,"We just completed our 3 night stay in Lausanne at the BRP and I must say that everything is first class. The service in the hotel from the reception, bell boy, concierge, valet and waiters in the restaurants is outstanding. We had a lake front room with connected room to our children. The rooms are very tastefully decorated in a luxurious way. There is a pillow menu to choose how you would like to sleep. The spa and pool is also outstanding and we used it each night after our day touring. Nice relaxing way to end each day. We ate twice in the hotel and the food was excellent. We ate at Sophie Pic with room service for our kids and the whole family ate at Beau Rivage Cafe another night. The morning breakfast buffet is also delicious with a tremendous assortment. On our trip",
Practically perfect,"Beautifully appointed rooms in a stunning property that combines the grandeur and elegance of days gone by with 21st century amenities and outstanding service. Our room was beautiful: tastefully furnished and so very comfortable. We enjoyed some time at the spa and, again, wanted for nothing. Every aspect of the hotel exceeded expectations. Without exception, every single member of staff we encountered did their very best to deliver outstanding service, discreetly and efficiently. The only gripe: 35CHF per day for parking seems a touch miserly given the calibre (and cost) of this property. This small niggle aside, everything about our stay was perfect and I can't wait to go back. ",
Leading hotel in the world,"At the very moment, I am sitting at the hotel bar, drinking a well-made cappuccino and relaxing in an amazing atmosphere made more unique and special by a pianist playing for the guests. Some people are reading the newspaper, others are working on their laptop, but all of them look satisfied by the excellent service. At my arrival, yesterday, a gentleman took care of my lugguages and welcomed me professionally. A young lady from the reception came to the room and showed me all the services, answering all my questions and doubts. The room was surprisingly bright and the details made the difference; sewing kit, shoes bags, all languages tv programs, a great Bulgari “linea cortesia”. I immediately went to CINQ SENSES SPA and that also was a great surprised for me. This morning,",
Very nice Palace,This is truly a nice classical Palace with all that you would expect in a country reputed for its service worldwide. The food was very good and the view from this hotel is amazing. The garden is very pleasant and we appreciated the sunday brunch. The room is luxurious and offered a magnificent view on the Lake. The italian restaurant downstairs is also very good.,
I just have one word : splendid !,"We had a great moment in this hotel. Friendly reception. The staff is fantastic and very helpful. We got an upgrade with a nice view on the lake and the mountains. The breakfast is very good also. It is a relative small buffet, but there is a large choice of meals that you can order. The staff brings you a basket with bread and Croissants. Perfect !",
True luxury!,"Everything about this hotel is expensive - everything. Think US $50 for a hamburger and fries! However we found that nothing in Switzerland is cheap so you might a well enjoy that hamburger with a beautiful view of the lake and the alps! We loved our room and while small, it was luxurious and had air conditioning which is not always available in Swiss hotels. I was a bit disappointed in our view room (lake/alps view) as we were on the 1st floor (one floor up from reception) and these lower rooms lose some of the lake view by trees. I would recommend you ask for a high floor for a better view. The location of the hotel is fantastic and there are many great restaurants within walking distance that are fantastic. It's also nice to walk across the street and walk along the",
Outstanding,"I love this hotel. Everything is outstanding - restaurants (all three), rooms (sometimes small, but all very good), service, building, location. The only bad thing one can say is that it is expensive. It is a pitty that the good things in life are so expensive.",
Truly one of the best hotels we have stayed in!,"Speechless. Welcoming, warm setting, world-class service. The decor is amazing, especially when we went during christmas, amazing location near the lake. Expensive room, but it's what you would expect when you stay in this kind of accommodation. The spa is also amazing. And not to mention the top notch breakfast! We will certainly be coming back here - it's made our stay amazing!",
Outstanding! A six star experience.,"Can't not say enough about our stay at Beau-Rivage Palace. From the very first moment the staff greeting us as if we were their only priority. The Palace itself is a must visit even if you don't get the privilege of staying. Our room was a junior suite over looking Lake Geneva with a breathtaking vista towards the snow topped mountains. We ate in the Cafe for lunch choosing traditional chef favourites, delicious! It was a Monday night that we stayed which meant the restaurant was closed however if breakfast was anything to go upon, I can only imagine why it has a Michelin star. Breakfast was the best we've ever experienced in years of travel. However, the most outstanding thing to say about our stay was the staff and their friendly amazing service. Having waited too long for a",
Palatial style for the matching price,"Hands-down, this is a fantastic hotel: the décor is amazing, fantastic interior design, amazing location, and service is what you would expect from a 5 star hotel (and the price-tag on the room). The hotel is composed of two main adjoining palaces linked together: having stayed in a room on the second floor of the ""farther"" palace, I should warn that this does require some more walking time to the hotel amenities than the palace where main reception is. However, the room had clearly been renovated recently, with an extremely comfortable bed, light décor and a fresh bathroom that includes, amongst others, a TV behind the mirror where you can watch the news while brushing your teeth. My room was facing the back, but if you can manage to get a room facing the lake I am sure this",
High Tea at the Beau Rivage,"The ad claims: ""So British! Cosy sofas, a welcoming and warm setting and attention to service: this is the ideal combination for an afternoon tea"". However, if you like cold scones, little sandwiches right out of the fridge served in a former hall with generous side draught air, this is the place.",
Oui to Beau-Rivage Palace,"We were bumped to this hotel, as our hotel was closed until after the holidays. It was a one night stay, and it was just lovely. The staff made us welcome and service was top notch. They honored the price of our hotel, and gave us an exceptional room with a view of Lake Geneva. We were offered a room in the traditional part of the hotel or the renovated part. We opted for the traditional part, and were not disappointed. Even so, the desk clerk, said we could change, if we were not satisfied. There was complimentary water waiting for us in the room. The bathroom had a jacuzzi bathtub, as well as Bvlgari products, and terry cloth robes. The room had cathedral ceilings and a tapestry on the wall, and a large balcony overlooking the lake. After a shot tour of the facilities from",
Yes - this was a great stay to end a year with extensive travel,"saved the best for one of my last hotel stay of this busy travel year. Besides that my navigation system guided me to the front of the hotel ... entrance is the other side ... the stay and the experience was fantastic. Friendly welcome with this slight touch of french arrogance, great interior, beautiful Christmas decoration. The room quality and set-up (including turn down and room refresh, amenities in the bathroom) was great. Late drink at the bar - classy, stylish and traditional at the same time. Thank you Beau-Rivage Palace Team for the memories.",
Amazing!!!,"This would have to rate as one of the very best hotels in the world. We stayed in a room with a belcony with a small table and two chairs that allowed you to sit with a drink and soak in the view of the lake. What can I say the food here is just amazing, the bars, the location and the pool are just stunning. We were only here a couple of days and wished we had booked for a longer stay, but we will be back! This place U.S. not cheap, but certainly worth every cent. If you're looking for a wonderfull location with a sense of history and incredibly good food and service then this is the place you're looking for.",
Good traditional hotel,"Enjoyed my three days stay at this traditional Swiss hotel. Staff were friendly, breakfast was excellent and Internet worked fast. Three servers in restaurant, one each from Panama, Czeck Republic and Turkey, were very friendly and efficient. Housekeeping may need attention to small details. I discarded one pair of socks in rubbish bin because I didn't want them. The next morning when I was reorganizing my files on desk I found them on desk with a bunch of other papers I threw away to the rubbish bin. Housekeeping might have thought I might have mistakenly thrown them away by mistake. I didn't understand why the hotel insists not opening the gym earlier than 6:30 especially when the guest requests. Concierge said ""we always open at 6:30 and cannot open earlier than 6:30."" Can",
Elegant and stylish hotel,The Hotel is very old style stylish and yet very comfortable. A large choice for breakfast in an elegant dining room overlooking the lake. Our room was comfortable and quiet with a very modern bathroom. Situated on the lake it is a few metro stops or taxi ride into town. The receptionist was very helpful and there are a choice of restaurants within the hotel.,
Grand and ravishing,"I could give enough praise to the staff of this hotel, who keep it immaculately clean, running it effeciently and providing the highest level of service imaginable, starting from check-in. The property itself is at the best location of the city, in the secluded area from public promenade with its own park, but just 50 meters from Leman lake, with extensive SPA area with indoor and outdoor pools If you do want to experience legendary french service at its prime, you probably should get it in this hotel, and not in one of ostentatious upmarket Paris properties packed with nouveau-riches and marked by declining service. All in all, classy and gorgeous. And do have a meal (at least a breakfast) in the hotel, you will not be disappointed.",
One of the best hotels in the world,"My son is 8 years old and he loves the Beau Rivage. He's been a guest several times as a baby, toddler and young boy. I'm positive he'll keep enjoying this hotel as a teenager, young man and father with his children and grandfather with his grandchildren. Winter, spring, summer or fall this is the best place to stay in Laussane.",
